Location,Year,Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (degree celsius),Maximum Temperature (degree celsius),Minimum Temperature (degree celsius),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2023,1 Feb,0.0,0.0,0.0,0.0,26.9,31.6,23.7,8.5,27.8
Paya Lebar,2023,2 Feb,1.0,1.0,1.0,1.0,27.1,32.3,24.4,7.8,31.5
Paya Lebar,2023,3 Feb,39.8,19.2,20.4,32.8,26.7,32.0,23.4,7.0,29.6
Paya Lebar,2023,4 Feb,11.6,2.0,3.4,6.0,24.8,27.7,23.9,7.1,22.2
Paya Lebar,2023,5 Feb,9.2,2.6,4.6,5.0,26.2,31.5,24.4,6.9,25.9
Paya Lebar,2023,6 Feb,0.0,0.0,0.0,0.0,26.9,32.1,24.2,6.0,24.1
Paya Lebar,2023,7 Feb,0.0,0.0,0.0,0.0,27.5,32.3,24.3,10.3,27.8
Paya Lebar,2023,8 Feb,0.0,0.0,0.0,0.0,28.0,32.6,25.1,12.4,37.0
Paya Lebar,2023,9 Feb,0.0,0.0,0.0,0.0,28.0,32.1,25.6,11.3,33.3
Paya Lebar,2023,10 Feb,3.4,3.4,3.4,3.4,27.6,32.5,25.4,10.0,35.2
Paya Lebar,2023,11 Feb,0.4,0.4,0.4,0.4,27.9,32.6,25.6,9.8,29.6
Paya Lebar,2023,12 Feb,17.2,4.6,5.2,6.2,25.9,31.1,23.4,6.9,29.6
Paya Lebar,2023,13 Feb,20.8,13.2,20.8,20.8,26.8,32.5,23.8,7.0,35.2
Paya Lebar,2023,14 Feb,34.0,11.4,16.6,27.2,26.7,33.3,24.0,6.6,27.8
Paya Lebar,2023,15 Feb,10.6,7.4,8.4,10.4,26.1,29.1,22.3,10.3,31.5
Paya Lebar,2023,16 Feb,0.0,0.0,0.0,0.0,27.3,32.1,23.1,11.7,35.2
Paya Lebar,2023,17 Feb,0.0,0.0,0.0,0.0,27.5,32.1,24.3,13.4,37.0
Paya Lebar,2023,18 Feb,0.0,0.0,0.0,0.0,28.2,33.4,25.3,12.9,40.7
Paya Lebar,2023,19 Feb,0.0,0.0,0.0,0.0,28.4,33.4,25.3,13.0,37.0
Paya Lebar,2023,20 Feb,2.2,2.2,2.2,2.2,27.2,31.8,25.0,11.3,38.9
Paya Lebar,2023,21 Feb,0.0,0.0,0.0,0.0,27.7,32.7,24.7,13.1,37.0
Paya Lebar,2023,22 Feb,0.2,0.2,0.2,0.2,27.7,31.3,25.2,12.7,35.2
Paya Lebar,2023,23 Feb,0.0,0.0,0.0,0.0,28.0,32.2,25.3,12.4,35.2
Paya Lebar,2023,24 Feb,0.0,0.0,0.0,0.0,28.3,32.6,25.7,13.5,40.7
Paya Lebar,2023,25 Feb,0.0,0.0,0.0,0.0,27.9,32.8,25.2,13.0,40.7
Paya Lebar,2023,26 Feb,5.6,5.0,5.4,5.4,27.7,32.5,24.3,15.6,48.2
Paya Lebar,2023,27 Feb,3.0,1.0,3.0,5.8,27.1,31.3,24.8,12.7,48.2
Paya Lebar,2023,28 Feb,162.0,18.4,28.6,43.8,24.9,27.7,22.1,6.6,29.6
Paya Lebar,2023,1 Jan,0.0,0.0,0.0,0.0,27.6,31.3,25.2,10.4,27.8
Paya Lebar,2023,2 Jan,0.0,0.0,0.0,0.0,28.0,32.5,25.2,10.1,31.5
Paya Lebar,2023,3 Jan,0.2,0.2,0.2,0.2,27.8,33.0,25.2,9.2,37.0
Paya Lebar,2023,4 Jan,0.0,0.0,0.0,0.0,26.9,29.5,25.0,9.5,35.2
Paya Lebar,2023,5 Jan,2.6,1.4,1.4,2.6,26.9,32.8,24.8,6.3,29.6
Paya Lebar,2023,6 Jan,3.8,3.6,3.8,3.8,28.4,34.6,25.5,7.1,29.6
Paya Lebar,2023,7 Jan,0.0,0.0,0.0,0.0,28.3,32.9,25.7,6.8,22.2
Paya Lebar,2023,8 Jan,0.0,0.0,0.0,0.0,29.1,34.8,25.7,7.3,25.9
Paya Lebar,2023,9 Jan,0.0,0.0,0.0,0.0,27.8,32.9,25.0,8.6,35.2
Paya Lebar,2023,10 Jan,0.4,0.4,0.4,0.4,27.3,31.4,25.0,8.6,25.9
Paya Lebar,2023,11 Jan,0.0,0.0,0.0,0.0,26.2,30.6,24.7,7.2,50.0
Paya Lebar,2023,12 Jan,0.0,0.0,0.0,0.0,28.0,33.2,23.9,8.3,22.2
Paya Lebar,2023,13 Jan,13.0,10.5,12.0,12.0,26.6,32.7,24.5,7.3,37.0
Paya Lebar,2023,14 Jan,2.4,2.2,2.4,2.4,26.8,31.9,24.3,6.5,25.9
Paya Lebar,2023,15 Jan,22.0,22.0,22.0,22.0,27.2,33.1,24.6,6.5,35.2
Paya Lebar,2023,16 Jan,0.0,0.0,0.0,0.0,27.7,32.2,24.7,10.3,35.2
Paya Lebar,2023,17 Jan,0.0,0.0,0.0,0.0,28.5,33.4,25.2,11.7,38.9
Paya Lebar,2023,18 Jan,0.0,0.0,0.0,0.0,28.0,32.6,25.6,12.9,40.7
Paya Lebar,2023,19 Jan,4.8,2.6,3.0,3.4,26.6,30.3,24.3,9.8,48.2
Paya Lebar,2023,20 Jan,25.4,7.6,9.2,12.6,25.8,29.1,24.4,7.3,29.6
Paya Lebar,2023,21 Jan,1.0,0.8,1.2,8.0,27.7,32.7,24.5,9.9,35.2
Paya Lebar,2023,22 Jan,27.4,13.8,13.8,18.0,26.3,31.5,24.6,7.1,37.0
Paya Lebar,2023,23 Jan,17.6,6.4,10.8,14.0,25.6,27.7,24.3,4.9,22.2
Paya Lebar,2023,24 Jan,32.8,2.6,4.4,7.6,24.0,25.0,23.1,4.3,22.2
Paya Lebar,2023,25 Jan,32.8,4.6,7.8,12.0,23.8,25.1,23.0,5.6,31.5
Paya Lebar,2023,26 Jan,5.6,1.0,1.8,3.2,24.9,27.7,23.0,5.9,25.9
Paya Lebar,2023,27 Jan,0.0,0.0,0.0,0.0,27.2,32.0,23.2,7.5,25.9
Paya Lebar,2023,28 Jan,8.4,1.2,2.0,3.6,24.5,25.6,23.5,7.8,27.8
Paya Lebar,2023,29 Jan,10.2,2.4,3.8,6.0,24.3,26.1,22.5,12.2,44.4
Paya Lebar,2023,30 Jan,3.4,1.6,1.6,1.6,25.7,29.2,24.2,11.7,40.7
Paya Lebar,2023,31 Jan,2.2,0.6,1.2,1.8,25.2,27.0,24.5,9.0,35.2
Paya Lebar,2022,1 Dec,5.2,3.4,4.0,4.6,26.5,31.9,24.0,4.8,29.6
Paya Lebar,2022,2 Dec,10.4,9.4,9.4,9.6,26.5,31.0,23.7,4.3,33.3
Paya Lebar,2022,3 Dec,7.0,5.2,5.2,5.2,27.7,32.5,23.8,5.2,33.3
Paya Lebar,2022,4 Dec,19.8,9.0,9.2,11.0,26.9,31.0,24.0,5.6,27.8
Paya Lebar,2022,5 Dec,9.2,8.4,8.8,8.8,26.4,31.2,24.7,5.9,25.9
Paya Lebar,2022,6 Dec,0.8,0.6,0.8,0.8,27.1,32.8,23.9,5.1,29.6
Paya Lebar,2022,7 Dec,9.4,9.2,9.4,9.4,27.3,33.4,24.9,4.1,25.9
Paya Lebar,2022,8 Dec,7.4,2.8,3.4,6.2,26.6,30.5,24.6,4.8,25.9
Paya Lebar,2022,9 Dec,0.0,0.0,0.0,0.0,26.8,31.6,24.0,5.4,24.1
Paya Lebar,2022,10 Dec,0.0,0.0,0.0,0.0,27.1,30.5,24.4,5.3,16.7
Paya Lebar,2022,11 Dec,76.2,45.4,68.6,70.4,25.5,27.2,23.5,6.1,40.7
Paya Lebar,2022,12 Dec,0.2,0.2,0.2,0.2,26.9,30.1,24.4,5.6,16.7
Paya Lebar,2022,13 Dec,7.6,1.4,2.2,3.4,26.0,30.7,24.5,9.6,31.5
Paya Lebar,2022,14 Dec,2.0,0.8,1.0,1.2,25.5,26.7,24.6,6.9,22.2
Paya Lebar,2022,15 Dec,4.2,0.6,0.8,1.6,25.8,28.6,24.3,7.8,24.1
Paya Lebar,2022,16 Dec,3.6,3.0,3.4,3.4,27.3,33.2,24.3,8.3,27.8
Paya Lebar,2022,17 Dec,15.0,8.2,10.8,12.2,26.8,32.2,24.9,7.0,25.9
Paya Lebar,2022,18 Dec,5.2,2.8,5.0,5.2,26.7,31.8,24.1,7.0,31.5
Paya Lebar,2022,19 Dec,0.4,0.2,0.2,0.2,26.1,28.5,24.6,7.9,27.8
Paya Lebar,2022,20 Dec,44.8,17.4,20.6,27.2,26.5,32.8,23.1,7.8,31.5
Paya Lebar,2022,21 Dec,0.0,0.0,0.0,0.0,27.1,32.1,23.5,6.2,22.2
Paya Lebar,2022,22 Dec,0.4,0.2,0.2,0.4,26.5,29.5,24.9,6.5,27.8
Paya Lebar,2022,23 Dec,0.4,0.2,0.2,0.4,26.5,31.2,24.2,10.3,37.0
Paya Lebar,2022,24 Dec,0.0,0.0,0.0,0.0,27.4,31.3,24.7,12.3,37.0
Paya Lebar,2022,25 Dec,3.6,3.0,3.4,3.6,27.5,32.6,25.0,11.0,35.2
Paya Lebar,2022,26 Dec,0.0,0.0,0.0,0.0,27.6,31.3,25.4,11.3,33.3
Paya Lebar,2022,27 Dec,0.2,0.2,0.2,0.2,27.3,31.5,25.0,11.3,33.3
Paya Lebar,2022,28 Dec,0.0,0.0,0.0,0.0,27.2,31.0,25.3,10.3,33.3
Paya Lebar,2022,29 Dec,0.4,0.2,0.2,0.2,26.8,31.4,25.3,9.2,35.2
Paya Lebar,2022,30 Dec,0.0,0.0,0.0,0.0,27.6,32.0,25.2,9.2,35.2
Paya Lebar,2022,31 Dec,1.6,1.6,1.6,1.6,27.7,32.1,23.9,10.4,40.7
Paya Lebar,2022,1 Nov,0.0,0.0,0.0,0.0,27.5,29.7,25.3,4.3,22.2
Paya Lebar,2022,2 Nov,3.4,3.4,3.4,3.4,28.0,32.2,25.3,5.9,31.5
Paya Lebar,2022,3 Nov,0.6,0.4,0.6,0.6,27.7,32.3,25.1,6.3,22.2
Paya Lebar,2022,4 Nov,0.6,0.4,0.6,0.6,29.0,34.3,24.0,5.7,27.8
Paya Lebar,2022,5 Nov,53.2,29.6,40.6,44.8,25.3,27.4,22.6,1.1,42.6
Paya Lebar,2022,6 Nov,1.2,0.6,0.8,0.8,26.8,31.4,24.1,7.4,42.6
Paya Lebar,2022,7 Nov,51.4,27.0,39.6,50.2,26.5,32.7,23.2,3,27.8
Paya Lebar,2022,8 Nov,13.6,12.0,12.6,12.6,26.1,32.9,24.0,2.4,42.6
Paya Lebar,2022,9 Nov,0.0,0.0,0.0,0.0,26.5,29.2,24.3,4.1,22.2
Paya Lebar,2022,10 Nov,18.4,2.8,4.0,7.8,26.8,31.0,24.4,3.9,24.1
Paya Lebar,2022,11 Nov,0.0,0.0,0.0,0.0,27.3,32.0,24.5,5.6,25.9
Paya Lebar,2022,12 Nov,50.8,22.4,25.6,42.0,26.3,32.6,24.3,3.5,20.4
Paya Lebar,2022,13 Nov,4.2,2.4,2.6,2.6,26.8,32.0,24.1,4.1,31.5
Paya Lebar,2022,14 Nov,33.0,18.4,20.2,29.8,27.3,31.8,23.8,3.1,37.0
Paya Lebar,2022,15 Nov,1.8,0.8,1.2,1.4,28.5,34.0,24.3,2.6,48.2
Paya Lebar,2022,16 Nov,72.6,38.2,57.4,70.8,27.4,33.5,24.2,5.2,29.6
Paya Lebar,2022,17 Nov,0.0,0.0,0.0,0.0,28.2,32.6,24.7,3.1,20.4
Paya Lebar,2022,18 Nov,0.0,0.0,0.0,0.0,29.1,34.0,26.5,3.9,27.8
Paya Lebar,2022,19 Nov,5.4,1.8,2.8,4.0,26.4,28.0,23.5,3,31.5
Paya Lebar,2022,20 Nov,0.2,0.2,0.2,0.2,28.3,31.9,24.9,4.1,33.3
Paya Lebar,2022,21 Nov,4.4,4.2,4.4,4.4,28.9,34.0,23.7,3.9,33.3
Paya Lebar,2022,22 Nov,0.6,0.6,0.6,0.6,30.1,34.9,26.3,-,31.5
Paya Lebar,2022,23 Nov,7.8,6.6,7.0,7.8,27.7,30.9,23.6,3.9,29.6
Paya Lebar,2022,24 Nov,7.8,7.8,7.8,7.8,29.0,34.8,24.0,6.1,42.6
Paya Lebar,2022,25 Nov,6.8,7.2,12.2,13.6,28.1,32.4,24.4,6.3,29.6
Paya Lebar,2022,26 Nov,0.0,0.0,0.0,0.0,28.1,32.5,25.3,5.7,22.2
Paya Lebar,2022,27 Nov,3.0,0.8,1.4,2.4,26.5,29.5,24.5,4.4,63.0
Paya Lebar,2022,28 Nov,4.0,4.0,4.0,4.0,27.4,33.2,24.3,6.9,27.8
Paya Lebar,2022,29 Nov,0.2,0.2,0.2,0.2,27.6,33.3,24.8,5.6,31.5
Paya Lebar,2022,30 Nov,54.8,29.8,44.4,53.2,26.9,33.9,23.1,4.3,27.8
Paya Lebar,2022,1 Oct,6.8,5.2,5.6,6.2,27.7,33.8,24.4,2,28.2
Paya Lebar,2022,2 Oct,7.2,1.8,2.8,4.6,27.3,33.5,24.0,4.3,23.3
Paya Lebar,2022,3 Oct,14.2,8.0,10.4,14.2,26.4,32.8,23.3,2.2,25.2
Paya Lebar,2022,4 Oct,3.0,1.4,2.0,2.0,26.5,30.4,24.2,2.4,22.6
Paya Lebar,2022,5 Oct,36.4,24.8,32.2,35.4,26.6,30.0,23.7,3.7,23.3
Paya Lebar,2022,6 Oct,4.8,2.4,2.8,2.8,26.5,32.9,24.8,-,24.4
Paya Lebar,2022,7 Oct,10.2,6.2,7.8,8.0,25.5,29.3,23.5,5.7,38.5
Paya Lebar,2022,8 Oct,0.0,0.0,0.0,0.0,27.5,31.7,24.3,5,25.6
Paya Lebar,2022,9 Oct,0.4,0.2,0.4,0.4,28.4,32.0,25.6,3.5,20.9
Paya Lebar,2022,10 Oct,1.8,0.6,0.8,1.2,27.0,29.8,23.9,5.6,58.7
Paya Lebar,2022,11 Oct,6.6,2.8,3.8,4.2,28.1,33.4,25.0,2.6,24.1
Paya Lebar,2022,12 Oct,5.0,2.4,2.4,4.6,26.8,30.6,23.8,0.9,70.9
Paya Lebar,2022,13 Oct,0.0,0.0,0.0,0.0,28.9,35.0,24.9,2.2,24.4
Paya Lebar,2022,14 Oct,3.6,3.6,3.6,3.6,28.4,32.4,25.3,5,25.2
Paya Lebar,2022,15 Oct,0.0,0.0,0.0,0.0,29.5,34.6,26.4,2.4,26.7
Paya Lebar,2022,16 Oct,33.4,9.4,16.2,22.8,27.3,32.5,23.3,4.1,35.2
Paya Lebar,2022,17 Oct,14.4,7.2,12.0,13.6,28.0,32.9,23.9,5,29.1
Paya Lebar,2022,18 Oct,0.0,0.0,0.0,0.0,28.8,32.2,25.7,3.7,29.1
Paya Lebar,2022,19 Oct,5.0,4.0,4.4,5.0,28.7,32.1,26.0,2.4,22.0
Paya Lebar,2022,20 Oct,0.0,0.0,0.0,0.0,30.0,34.8,26.8,5.6,37.0
Paya Lebar,2022,21 Oct,36.0,16.0,24.4,28.2,26.5,29.9,23.3,5.2,23.3
Paya Lebar,2022,22 Oct,12.8,8.6,9.4,9.4,26.5,32.4,24.4,2.6,21.7
Paya Lebar,2022,23 Oct,0.2,0.2,0.2,0.2,27.3,31.3,24.3,4.1,20.9
Paya Lebar,2022,24 Oct,1.2,0.4,0.6,1.0,27.7,30.6,26.0,3.9,21.7
Paya Lebar,2022,25 Oct,15.4,9.6,10.6,12.4,27.3,32.8,22.9,3,41.1
Paya Lebar,2022,26 Oct,0.2,0.2,0.2,0.2,26.7,30.4,24.5,3.9,25.9
Paya Lebar,2022,27 Oct,2.0,1.6,1.6,1.8,28.6,34.4,24.7,4.1,27.4
Paya Lebar,2022,28 Oct,1.4,0.8,0.8,1.0,28.8,35.0,25.6,-,25.9
Paya Lebar,2022,29 Oct,0.0,0.0,0.0,0.0,28.8,34.1,25.3,5.6,30.2
Paya Lebar,2022,30 Oct,45.6,27.4,28.0,45.6,28.0,32.8,23.2,5.6,43.5
Paya Lebar,2022,31 Oct,14.8,16.6,22.8,41.8,27.8,33.5,23.2,2.2,26.7
Paya Lebar,2022,1 Sep,0.0,0.0,0.0,0.0,28.8,33.4,25.9,5.9,37.0
Paya Lebar,2022,2 Sep,3.8,1.8,2.4,3.2,27.4,31.0,26.0,6.9,24.1
Paya Lebar,2022,3 Sep,0.0,0.0,0.0,0.0,28.8,32.4,26.4,12.8,37.0
Paya Lebar,2022,4 Sep,0.8,0.6,0.6,0.6,27.8,31.4,25.5,5.2,25.9
Paya Lebar,2022,5 Sep,0.0,0.0,0.0,0.0,27.6,32.6,26.3,4.9,24.1
Paya Lebar,2022,6 Sep,0.0,0.0,0.0,0.0,28.6,32.6,25.6,6.7,31.5
Paya Lebar,2022,7 Sep,2.0,1.0,1.0,1.2,27.5,31.8,25.6,6.1,27.8
Paya Lebar,2022,8 Sep,0.0,0.0,0.0,0.0,28.4,32.5,25.7,6.2,20.4
Paya Lebar,2022,9 Sep,4.4,2.4,2.8,3.6,27.0,30.4,25.6,6.1,25.9
Paya Lebar,2022,10 Sep,0.0,0.0,0.0,0.0,28.3,32.1,25.3,10.3,33.3
Paya Lebar,2022,11 Sep,0.2,0.2,0.2,0.2,28.0,31.4,25.4,6.3,33.3
Paya Lebar,2022,12 Sep,0.0,0.0,0.0,0.2,28.5,34.4,24.0,7.1,31.5
Paya Lebar,2022,13 Sep,0.0,0.0,0.0,0.0,27.8,31.7,25.7,9.0,27.8
Paya Lebar,2022,14 Sep,0.0,0.0,0.0,0.0,27.3,30.7,25.8,10.4,40.7
Paya Lebar,2022,15 Sep,0.0,0.0,0.0,0.0,28.3,32.2,25.3,7.8,31.5
Paya Lebar,2022,16 Sep,0.0,0.0,0.0,0.0,28.9,32.8,25.4,9.6,31.5
Paya Lebar,2022,17 Sep,0.0,0.0,0.0,0.0,28.6,30.8,26.3,8.9,31.5
Paya Lebar,2022,18 Sep,48.2,13.8,21.2,34.8,25.9,28.2,23.0,6.0,29.6
Paya Lebar,2022,19 Sep,0.0,0.0,0.0,0.0,28.0,32.0,24.9,8.2,29.6
Paya Lebar,2022,20 Sep,7.6,7.0,7.6,7.6,27.2,29.4,23.2,5.5,22.2
Paya Lebar,2022,21 Sep,0.0,0.0,0.0,0.0,28.7,32.5,25.3,10.0,37.0
Paya Lebar,2022,22 Sep,10.2,6.6,7.8,9.2,26.9,29.9,23.4,7.6,38.9
Paya Lebar,2022,23 Sep,0.0,0.0,0.0,0.0,29.1,32.6,26.0,9.7,27.8
Paya Lebar,2022,24 Sep,9.0,8.2,8.8,8.8,28.1,31.7,23.4,6.6,40.7
Paya Lebar,2022,25 Sep,24.0,7.4,13.6,19.2,26.8,30.8,22.9,7.8,44.4
Paya Lebar,2022,26 Sep,0.0,0.0,0.0,0.0,28.4,31.4,25.9,9.2,29.6
Paya Lebar,2022,27 Sep,0.0,0.0,0.0,0.0,28.6,32.4,24.9,9.1,33.3
Paya Lebar,2022,28 Sep,0.6,0.6,0.6,0.6,28.9,33.8,25.2,4.6,27.8
Paya Lebar,2022,29 Sep,8.0,4.4,7.2,8.0,28.0,31.2,24.0,5.8,24.1
Paya Lebar,2022,30 Sep,0.0,0.0,0.0,0.0,29.0,33.9,26.0,7.2,31.5
Paya Lebar,2022,1 Aug,0.0,0.0,0.0,0.0,28.4,32.6,26.2,6.7,24.1
Paya Lebar,2022,2 Aug,12.2,4.8,5.8,10.0,27.1,31.9,24.6,8.8,48.2
Paya Lebar,2022,3 Aug,1.8,1.2,1.2,1.2,26.7,29.4,24.5,7.4,29.6
Paya Lebar,2022,4 Aug,1.2,0.4,0.6,0.8,26.4,29.5,24.2,6.0,27.8
Paya Lebar,2022,5 Aug,0.0,0.0,0.0,0.0,27.8,31.3,25.2,8.3,27.8
Paya Lebar,2022,6 Aug,0.0,0.0,0.0,0.0,28.8,32.9,25.2,9.3,35.2
Paya Lebar,2022,7 Aug,0.2,0.2,0.2,0.2,29.1,31.5,26.8,10.7,42.6
Paya Lebar,2022,8 Aug,0.0,0.0,0.0,0.0,29.8,32.9,27.5,12.9,38.9
Paya Lebar,2022,9 Aug,0.0,0.0,0.0,0.0,29.6,33.2,26.3,11.0,31.5
Paya Lebar,2022,10 Aug,0.0,0.0,0.0,0.0,29.7,33.2,27.1,13.7,38.9
Paya Lebar,2022,11 Aug,0.0,0.0,0.0,0.0,30.2,33.5,27.9,12.5,33.3
Paya Lebar,2022,12 Aug,0.0,0.0,0.0,0.0,29.6,33.4,27.9,9.1,38.9
Paya Lebar,2022,13 Aug,25.8,15.6,25.2,25.8,28.0,31.0,24.1,5.7,33.3
Paya Lebar,2022,14 Aug,0.0,0.0,0.0,0.0,28.6,33.3,25.1,5.9,55.6
Paya Lebar,2022,15 Aug,0.0,0.0,0.0,0.0,29.2,31.8,26.9,9.4,31.5
Paya Lebar,2022,16 Aug,2.4,2.4,2.4,2.4,27.8,31.6,24.0,7.3,38.9
Paya Lebar,2022,17 Aug,0.2,0.2,0.2,0.2,29.0,33.8,25.8,10.6,37.0
Paya Lebar,2022,18 Aug,1.0,1.0,1.0,1.0,29.2,33.8,26.3,9.9,40.7
Paya Lebar,2022,19 Aug,0.4,0.4,0.4,0.4,28.9,32.3,26.5,9.6,38.9
Paya Lebar,2022,20 Aug,31.8,21.4,26.4,26.4,27.8,32.0,24.4,7.1,31.5
Paya Lebar,2022,21 Aug,7.2,5.0,6.0,7.0,26.8,30.1,23.6,9.8,29.6
Paya Lebar,2022,22 Aug,0.0,0.0,0.0,0.0,29.1,32.4,26.2,11.3,33.3
Paya Lebar,2022,23 Aug,3.2,1.4,1.6,1.8,26.9,30.4,24.8,5.6,38.9
Paya Lebar,2022,24 Aug,14.0,13.4,13.8,14.0,27.2,32.2,23.7,7.0,55.6
Paya Lebar,2022,25 Aug,4.6,1.6,3.0,3.2,27.2,30.9,24.5,10.6,46.3
Paya Lebar,2022,26 Aug,2.2,0.8,0.8,0.8,26.1,27.6,24.3,6.3,35.2
Paya Lebar,2022,27 Aug,15.6,6.8,7.8,9.2,26.5,32.3,24.0,5.3,33.3
Paya Lebar,2022,28 Aug,0.0,0.0,0.2,2.2,27.2,31.6,24.6,5.6,31.5
Paya Lebar,2022,29 Aug,52.0,27.2,47.4,47.8,26.3,32.0,23.4,4.6,35.2
Paya Lebar,2022,30 Aug,0.6,0.4,0.6,0.6,27.1,30.5,25.3,6.2,25.9
Paya Lebar,2022,31 Aug,0.0,0.0,0.0,0.0,28.4,32.7,24.9,7.5,31.5
Paya Lebar,2022,1 Jul,0.0,0.0,0.0,0.0,29.2,32.2,26.5,13.5,37.0
Paya Lebar,2022,2 Jul,5.6,5.4,5.4,5.6,29.0,32.5,25.1,10.7,42.6
Paya Lebar,2022,3 Jul,0.0,0.0,0.0,0.0,29.0,32.4,26.1,9.7,31.5
Paya Lebar,2022,4 Jul,3.2,2.8,3.0,3.0,28.5,33.3,26.0,7.3,29.6
Paya Lebar,2022,5 Jul,1.2,0.4,0.4,0.4,27.3,31.5,25.8,7.8,42.6
Paya Lebar,2022,6 Jul,0.0,0.0,0.0,0.0,28.6,31.5,25.8,7.0,25.9
Paya Lebar,2022,7 Jul,0.0,0.0,0.0,0.0,29.8,33.2,26.8,10.7,29.6
Paya Lebar,2022,8 Jul,3.2,2.0,2.4,3.0,28.5,32.2,24.3,12.5,53.7
Paya Lebar,2022,9 Jul,0.0,0.0,0.0,0.0,29.8,33.6,27.1,11.6,31.5
Paya Lebar,2022,10 Jul,3.0,1.8,3.0,3.0,27.9,30.5,24.8,10.0,35.2
Paya Lebar,2022,11 Jul,0.0,0.0,0.0,0.0,28.4,32.6,25.1,8.6,31.5
Paya Lebar,2022,12 Jul,0.0,0.0,0.0,0.0,29.0,32.0,26.2,9.9,35.2
Paya Lebar,2022,13 Jul,0.0,0.0,0.0,0.0,29.0,32.5,26.4,10.0,27.8
Paya Lebar,2022,14 Jul,2.2,2.2,2.2,2.2,28.8,33.5,25.3,8.6,35.2
Paya Lebar,2022,15 Jul,2.6,2.6,2.6,2.6,28.9,32.2,25.3,9.8,33.3
Paya Lebar,2022,16 Jul,0.0,0.0,0.0,0.0,29.6,32.5,27.6,13.7,40.7
Paya Lebar,2022,17 Jul,0.0,0.0,0.0,0.0,30.0,33.7,28.1,10.2,27.8
Paya Lebar,2022,18 Jul,0.0,0.0,0.0,0.0,30.1,33.5,27.9,10.9,33.3
Paya Lebar,2022,19 Jul,0.0,0.0,0.0,0.0,30.0,33.8,27.7,12.3,33.3
Paya Lebar,2022,20 Jul,34.4,27.4,30.2,30.4,27.2,30.0,22.3,9.4,50.0
Paya Lebar,2022,21 Jul,0.2,0.2,0.2,0.2,28.6,32.7,26.1,6.5,33.3
Paya Lebar,2022,22 Jul,43.8,30.2,40.6,43.8,27.5,32.4,23.5,4.6,29.6
Paya Lebar,2022,23 Jul,0.0,0.0,0.0,0.0,28.3,33.7,25.3,4.5,25.9
Paya Lebar,2022,24 Jul,15.6,7.8,8.0,8.0,26.8,32.0,23.3,3.9,27.8
Paya Lebar,2022,25 Jul,15.4,7.0,12.6,14.6,26.6,32.1,24.4,3.7,25.9
Paya Lebar,2022,26 Jul,2.2,0.8,1.2,1.8,26.9,29.9,24.6,8.2,37.0
Paya Lebar,2022,27 Jul,0.0,0.0,0.0,0.0,29.1,33.2,25.5,11.7,37.0
Paya Lebar,2022,28 Jul,0.6,0.4,0.4,0.6,29.1,32.6,27.3,9.6,38.9
Paya Lebar,2022,29 Jul,6.2,3.2,4.0,4.4,28.1,32.4,24.2,9.5,51.9
Paya Lebar,2022,30 Jul,0.0,0.0,0.0,0.2,28.7,32.6,25.0,13.8,33.3
Paya Lebar,2022,31 Jul,0.0,0.0,0.0,0.0,28.8,33.0,26.6,9.3,33.3
Paya Lebar,2022,1 Jun,1.8,1.8,1.8,1.8,29.0,33.5,25.9,5.6,33.3
Paya Lebar,2022,2 Jun,0.2,0.2,0.2,0.2,28.3,32.9,26.1,9.3,29.6
Paya Lebar,2022,3 Jun,44.4,27.2,43.8,44.0,27.4,30.7,24.1,5.1,37.0
Paya Lebar,2022,4 Jun,15.4,6.4,11.8,12.2,28.3,32.4,23.5,6.4,29.6
Paya Lebar,2022,5 Jun,5.0,4.6,5.0,5.0,27.8,32.6,25.3,6.6,29.6
Paya Lebar,2022,6 Jun,3.2,3.0,3.2,3.2,28.3,31.4,23.8,9.0,31.5
Paya Lebar,2022,7 Jun,8.2,5.0,6.8,8.0,27.2,29.9,25.6,3.9,29.6
Paya Lebar,2022,8 Jun,0.8,0.8,0.8,0.8,28.1,35.1,25.2,6.7,29.6
Paya Lebar,2022,9 Jun,8.2,6.8,6.8,7.4,27.3,31.9,24.4,5.8,37.0
Paya Lebar,2022,10 Jun,0.0,0.0,0.0,0.0,28.4,33.9,25.4,6.3,40.7
Paya Lebar,2022,11 Jun,43.0,33.0,41.2,42.6,27.5,32.2,23.0,8.4,31.5
Paya Lebar,2022,12 Jun,0.0,0.0,0.0,0.0,27.7,30.5,25.8,6.8,31.5
Paya Lebar,2022,13 Jun,10.0,6.2,7.4,9.6,27.9,33.6,24.1,5.5,25.9
Paya Lebar,2022,14 Jun,0.0,0.0,0.0,0.0,28.3,31.8,25.4,8.9,42.6
Paya Lebar,2022,15 Jun,10.4,9.8,10.4,10.4,28.1,32.3,23.6,7.6,35.2
Paya Lebar,2022,16 Jun,85.4,58.4,77.8,84.6,26.5,30.3,22.4,6.6,40.7
Paya Lebar,2022,17 Jun,0.0,0.2,0.4,0.6,27.7,31.0,24.8,4.6,25.9
Paya Lebar,2022,18 Jun,0.4,0.2,0.2,0.4,27.9,31.5,25.4,6.4,25.9
